No.;SMILES;HDAC6 activity;Applicability domain (AD);Experimental value; pIC50;Standard deviation;Chemble ID
2713;CC(C)(N)Cc1ccccc1Cl;unreliable prediction;Outside AD;-0;-0;-0;
2714;Oc1ccccc1C=Nc1ccccc1N=Cc1ccccc1O;unreliable prediction;Outside AD;-0;-0;-0;
2715;NC(=O)C(c1ccccc1)(c1ccccc1)C1CCN(CCc2ccc3c(c2)CCO3)C1;unreliable prediction;Outside AD;-0;-0;-0;
2716;NC(=O)c1c(OCc2c(F)cc(Br)cc2F)nsc1NC(=O)NCCCCN1CCCC1;unreliable prediction;Outside AD;-0;-0;-0;
2717;CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1;unreliable prediction;Outside AD;-0;-0;-0;
2718;OB(O)c1ccccc1;unreliable prediction;Outside AD;-0;-0;-0;
2719;CCCCCCSCC(NC(=O)CCC(N)C(=O)O)C(=O)NCC(=O)O;unreliable prediction;Outside AD;-0;-0;-0;
2720;CCc1cc(OC)c(CC(C)N)cc1OC;unreliable prediction;Outside AD;-0;-0;-0;
2721;CC(O)CN;unreliable prediction;Outside AD;-0;-0;-0;
2722;COc1ccc(CCNCC(O)COc2cccc(C)c2)cc1OC;unreliable prediction;Outside AD;-0;-0;-0;
2723;CC(C)n1c(=O)c(C(=O)NC2CC3CCC(C2)N3CC(O)CN(C)S(C)(=O)=O)cc2ccccc21;unreliable prediction;Outside AD;-0;-0;-0;
2724;O=c1nc2[nH][nH]cc-2c(=O)[nH]1;unreliable prediction;Outside AD;-0;-0;-0;
2725;Cc1ccc(NS(=O)(=O)c2ccccc2)c(C(=O)O)c1;unreliable prediction;Outside AD;-0;-0;-0;
2726;CN(C)Cc1ccc(CSCCN=C(C[N+](=O)[O-])NCc2ccc3c(c2)OCO3)o1;unreliable prediction;Outside AD;-0;-0;-0;
2727;Cc1ccn(-c2cccc(C(F)(F)F)c2)c(=O)c1-c1ccc2nc(N)ncc2c1;unreliable prediction;Outside AD;-0;-0;-0;
2728;CCCCCCCCN=C1SCC2C(O)C(O)C(O)C(O)N12;unreliable prediction;Outside AD;-0;-0;-0;
2729;O=P(O)(O)OC1OC(CO)C(O)C(O)C1O;unreliable prediction;Outside AD;-0;-0;-0;
2730;O=P(O)(O)OC1OC(CO)C(O)C(O)C1O;unreliable prediction;Outside AD;-0;-0;-0;
2731;O=P(O)(O)OC1OC(CO)C(O)C(O)C1O;unreliable prediction;Outside AD;-0;-0;-0;
2732;CCCCC(O)C(O)CO;unreliable prediction;Outside AD;-0;-0;-0;
2733;CCCCCCCCCCCCCCCC(=O)NCCO;unreliable prediction;Outside AD;-0;-0;-0;
2734;CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1;unreliable prediction;Outside AD;-0;-0;-0;
2735;Nc1nc(=O)c2ncn(C3OC(CO)C4OC(CP(=O)(O)O)OC43)c2[nH]1;unreliable prediction;Outside AD;-0;-0;-0;
2736;[H]N=C(NO)NCCCN;unreliable prediction;Outside AD;-0;-0;-0;
2737;CCCCCCCC=CC(=O)SCCNC(C)=O;unreliable prediction;Outside AD;-0;-0;-0;
2738;CCOCCOCCOCCOCCOCC;unreliable prediction;Outside AD;-0;-0;-0;
2739;COC(=O)CC(O)(CCCC(C)(C)O)C(=O)OC1C(OC)=CC23CCCN2CCc2cc4c(cc2C13)OCO4;unreliable prediction;Outside AD;-0;-0;-0;
2740;CN(CC(N)=O)C(=O)N(CCCl)N=O;unreliable prediction;Outside AD;-0;-0;-0;
2741;CC(C)(CCCCCC(O)CCCCCC(C)(C)C(=O)O)C(=O)O;unreliable prediction;Outside AD;-0;-0;-0;
2742;COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-];unreliable prediction;Outside AD;-0;-0;-0;
2743;COc1cccc(C=NN(C(=O)C(F)(F)F)c2ccc(C)cc2C)c1;unreliable prediction;Outside AD;-0;-0;-0;
2744;CN(c1nccc(-c2cnc3ccccn23)n1)C1CCCCC1;unreliable prediction;Outside AD;-0;-0;-0;
2745;CC1OC(c2ccccc2O)=NC1C(O)CC(=O)O;unreliable prediction;Outside AD;-0;-0;-0;
2746;CCCCn1ccc(N2CCC(c3ccccc3)CC2)c(Cl)c1=O;unreliable prediction;Outside AD;-0;-0;-0;
2747;CCOC(=O)C1(c2ccccc2)CCN(CCC(C#N)(c2ccccc2)c2ccccc2)CC1;unreliable prediction;Outside AD;-0;-0;-0;
2748;CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCC1=C(C)C(=O)c2ccccc2C1=O;unreliable prediction;Outside AD;-0;-0;-0;
2749;CC(=O)OCC(=O)C1(O)C(C)CC2C3CC(F)C4=CC(=O)C=CC4(C)C3C(O)CC21C;unreliable prediction;Outside AD;-0;-0;-0;
2750;CC(C)=CCNc1ncnc2nc[nH]c12;unreliable prediction;Outside AD;-0;-0;-0;
2751;CC(NC1=NC(=O)C(C)(C(C)(C)O)S1)c1ccc(F)cc1;unreliable prediction;Outside AD;-0;-0;-0;
2752;CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1Oc1ccccc1;unreliable prediction;Outside AD;-0;-0;-0;
2753;Cc1cccc(Nc2ccccc2C(=O)O)c1C;unreliable prediction;Outside AD;-0;-0;-0;
2754;c1ccc2[nH]cnc2c1;unreliable prediction;Outside AD;-0;-0;-0;
2755;NCCO;unreliable prediction;Outside AD;-0;-0;-0;
2756;CNC(=O)C(Cc1c(F)c(F)c(F)c(F)c1F)NC(=O)Nc1n[nH]c(=S)s1;unreliable prediction;Outside AD;-0;-0;-0;
2757;Cc1ccccc1-c1cc(N2CC[N+](C)(COP(=O)(O)O)CC2)ncc1N(C)C(=O)C(C)(C)c1cc(C(F)(F)F)cc(C(F)(F)F)c1;unreliable prediction;Outside AD;-0;-0;-0;
2758;CCCNC(=O)C1CCCN1C(=O)C(N)C(c1ccccc1)c1ccccc1;unreliable prediction;Outside AD;-0;-0;-0;
2759;O=C(O)C1CCCN1C(=O)CCCCC(=O)N1CCCC1C(=O)O;unreliable prediction;Outside AD;-0;-0;-0;
2760;CC1=C2CC3C(CCC4CC(NS(C)(=O)=O)CCC43C)C2CCC2(C1)OC1CC(C)CNC1C2C;unreliable prediction;Outside AD;-0;-0;-0;
2761;Cc1ncc(C[n+]2csc(CCOP(=O)(O)O)c2C)c(N)n1;unreliable prediction;Outside AD;-0;-0;-0;
2762;COc1ccc(OC)c(CN(C)c2cnc3nc(N)nc(N)c3c2)c1;unreliable prediction;Outside AD;-0;-0;-0;
2763;CC1=Cc2cc3[nH]c(cc4[nH]c(cc5nc(cc1n2)C=C5C)c(C)c4CCC(=O)O)c(CCC(=O)O)c3C;unreliable prediction;Outside AD;-0;-0;-0;
2764;CCc1nc2c(C)nc(C)cc2n1-c1ccc(CCNC(=O)NS(=O)(=O)c2ccc(C)cc2)cc1;unreliable prediction;Outside AD;-0;-0;-0;
2765;O=C(O)C1C(=CCO)OC2CC(=O)N21;unreliable prediction;Outside AD;-0;-0;-0;
2766;Clc1ccc2c(c1Cl)CNCCC2;unreliable prediction;Outside AD;-0;-0;-0;
2767;Nc1nc(=O)c2c([nH]1)NC1OC(COP(=O)(O)O)C(S)C(=S)C1N2;unreliable prediction;Outside AD;-0;-0;-0;
2768;CC(CSC(=O)c1ccccc1)C(=O)N1CC(Sc2ccccc2)CC1C(=O)O;unreliable prediction;Outside AD;-0;-0;-0;
2769;NC(=O)NN=Cc1ccc([N+](=O)[O-])o1;unreliable prediction;Outside AD;-0;-0;-0;
2770;CP(=O)(O)CCC(N)C(=O)O;unreliable prediction;Outside AD;-0;-0;-0;
2771;COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2;unreliable prediction;Outside AD;-0;-0;-0;
2772;O=C(O)C1=CC(O)C(O)C(O)O1;unreliable prediction;Outside AD;-0;-0;-0;
2773;O=C(O)C1=CC(O)C(O)C(O)O1;unreliable prediction;Outside AD;-0;-0;-0;
2774;CC(C)CC(C(=O)O)n1cc(CN)nn1;unreliable prediction;Outside AD;-0;-0;-0;
2775;c1ccc2occc2c1;unreliable prediction;Outside AD;-0;-0;-0;
2776;COC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)O;unreliable prediction;Outside AD;-0;-0;-0;
2777;CC(C(=O)N1CCOCC1)N1CCC(NS(=O)(=O)CCc2ccc(Cl)s2)C1=O;unreliable prediction;Outside AD;-0;-0;-0;
2778;O=C1NC(=O)c2c1c(-c1ccccc1)cc1[nH]c3ccc(O)cc3c21;unreliable prediction;Outside AD;-0;-0;-0;
2779;O=S(=O)(O)CCNc1ccccc1;unreliable prediction;Outside AD;-0;-0;-0;
2780;CCNC1CC(C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21;unreliable prediction;Outside AD;-0;-0;-0;
2781;NC(=O)Nc1cc(-c2cccc(F)c2)sc1C(=O)NC1CCCNC1;unreliable prediction;Outside AD;-0;-0;-0;
2782;CS(C)=O;unreliable prediction;Outside AD;-0;-0;-0;
2783;NC(=O)CCCN=C(c1ccc(Cl)cc1)c1cc(F)ccc1O;unreliable prediction;Outside AD;-0;-0;-0;
2784;OCCN1CC(O)C(O)C(O)C1CO;unreliable prediction;Outside AD;-0;-0;-0;
2785;c1ccc(-c2n[nH]cc2-c2ccnc3ccccc23)nc1;unreliable prediction;Outside AD;-0;-0;-0;
2786;CCCC(Oc1cc(C)c(-n2cc(C(F)(F)F)cn2)c(C)c1)c1ccc(C(=O)NCCC(=O)O)cc1;unreliable prediction;Outside AD;-0;-0;-0;
2787;O=Cc1ccc(O)c(O)c1;unreliable prediction;Outside AD;-0;-0;-0;
2788;OC1CCC(Nc2ncc3nc(Nc4c(F)cc(F)cc4F)n(C4CCOC4)c3n2)CC1;unreliable prediction;Outside AD;-0;-0;-0;
2789;O=C(O)C(CP(=O)(O)O)=C(Cl)Cl;unreliable prediction;Outside AD;-0;-0;-0;
2790;CCCCCCCCCCCCSCC(COP(=O)(O)OCC1OC(n2cc(C)c(=O)[nH]c2=O)CC1[N-][N+]#N)OCCCCCCCCCC;unreliable prediction;Outside AD;-0;-0;-0;
2791;[H]N=C(N)c1cccc(OC2COC3C(Oc4cccc(C(N)=N[H])c4)COC23)c1;unreliable prediction;Outside AD;-0;-0;-0;
2792;O=C(O)C(O)=C(Cl)C=CC(=O)c1ccccc1;unreliable prediction;Outside AD;-0;-0;-0;
2793;CC(C)(C)C(O)C=Cc1ccc2c(c1)OCO2;unreliable prediction;Outside AD;-0;-0;-0;
2794;COC1=CC(=O)c2c(c(COc3ccc([N+](=O)[O-])cc3)c(C)n2C)C1=O;unreliable prediction;Outside AD;-0;-0;-0;
2795;CC(=O)NC1OC(CO)C(O)C(O)C1O;unreliable prediction;Outside AD;-0;-0;-0;
2796;O=C(O)c1no[nH]c1=O;unreliable prediction;Outside AD;-0;-0;-0;
2797;CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1ccccc1c2C=NOCCN;unreliable prediction;Outside AD;-0;-0;-0;
2798;Brc1cnn2c(NCc3cncnc3)cc(-c3ccccc3)cc12;unreliable prediction;Outside AD;-0;-0;-0;
2799;CC(CCc1ccc2c(c1)OCO2)NN;unreliable prediction;Outside AD;-0;-0;-0;
2800;CCNC1=Nc2ccc(Cl)cc2C(C)(c2ccccc2)O1;unreliable prediction;Outside AD;-0;-0;-0;
2801;CC(NC(=O)OCc1ccccc1)C(=O)NCP(=O)(O)OC(Cc1ccccc1)C(=O)O;unreliable prediction;Outside AD;-0;-0;-0;
2802;[H]N=C(N=C(N)N)NCCc1ccccc1;unreliable prediction;Outside AD;-0;-0;-0;
2803;CC1=C(CCCCCC(=O)O)C(=O)c2ccccc2C1=O;unreliable prediction;Outside AD;-0;-0;-0;
2804;COc1cccc(N2CCc3cc(S(N)(=O)=O)sc3S2(=O)=O)c1;unreliable prediction;Outside AD;-0;-0;-0;
2805;CN(C)CCN(Cc1ccc(Cl)cc1)c1ccccn1;unreliable prediction;Outside AD;-0;-0;-0;
2806;O=C(c1ccccc1)c1ccc(O)c(O)c1[N+](=O)[O-];unreliable prediction;Outside AD;-0;-0;-0;
2807;CC(C(=O)N1CCOCC1)N1CCC(NS(=O)(=O)c2ccc3cc(Cl)ccc3c2)C1=O;unreliable prediction;Outside AD;-0;-0;-0;
2808;CCN(CC)CCOc1cccc(OCCN(CC)CC)c1OCCN(CC)CC;unreliable prediction;Outside AD;-0;-0;-0;
2809;C=CCCCCCCCCC(=O)NC(CC(C)C)C(=O)OC;unreliable prediction;Outside AD;-0;-0;-0;
2810;COc1ccccc1N1CCN(CCCNc2cc(=O)n(C)c(=O)n2C)CC1;unreliable prediction;Outside AD;-0;-0;-0;
2811;CCCCCC1OC(O)CC1SCC(NC(=O)CCC(N)C(=O)O)C(=O)NCC(=O)O;unreliable prediction;Outside AD;-0;-0;-0;
2812;CCCCCCCc1cc(=O)c2ccccc2n1O;unreliable prediction;Outside AD;-0;-0;-0;
2813;C#CC1(O)CCC2C3CCC4=C(CCC(=O)C4)C3CCC21C;unreliable prediction;Outside AD;-0;-0;-0;
2814;O=C(Nc1ccc(Cl)cc1)Nc1ccc(Cl)c(Cl)c1;unreliable prediction;Outside AD;-0;-0;-0;
2815;COc1ccc(Cl)cc1-c1cc(=O)[nH]c(=S)n1CC(N)=O;unreliable prediction;Outside AD;-0;-0;-0;
2816;C=NN;unreliable prediction;Outside AD;-0;-0;-0;
2817;CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1;unreliable prediction;Outside AD;-0;-0;-0;
2818;Cc1cc(C(=O)NC(C)C(=O)NC(C(=O)NC(CC(C)C)C(=O)NC(C=CC(=O)OCc2ccccc2)CC2CCNC2=O)C(C)C)no1;unreliable prediction;Outside AD;-0;-0;-0;
2819;CCN(CC)CCc1nc(-c2ccccc2)no1;unreliable prediction;Outside AD;-0;-0;-0;
2820;CCC(C=O)C(CNS(=O)(=O)c1ccc(C)cc1)C(=O)O;unreliable prediction;Outside AD;-0;-0;-0;
2821;NCCCCCCNS(=O)(=O)c1cccc2c(Cl)cccc12;unreliable prediction;Outside AD;-0;-0;-0;
2822;CC(Oc1cccc2nc(N)nc(N)c12)c1cccc(Cl)c1;unreliable prediction;Outside AD;-0;-0;-0;
2823;CSCC(N)C(=O)O;unreliable prediction;Outside AD;-0;-0;-0;
2824;[H]N=C(N)NCCCCCCC(=O)NC(O)C(=O)NCCCCNCCCN;unreliable prediction;Outside AD;-0;-0;-0;
2825;[H]N=C(N)NCCCCCCC(=O)NC(O)C(=O)NCCCCNCCCN;unreliable prediction;Outside AD;-0;-0;-0;
2826;CC(C)(C)CC1NC(C(=O)NC2CCC(O)CC2)C(c2cccc(Cl)c2F)C12C(=O)Nc1cc(Cl)ccc12;unreliable prediction;Outside AD;-0;-0;-0;
2827;O=c1[nH]cc(N(CCCl)CCCl)c(=O)[nH]1;unreliable prediction;Outside AD;-0;-0;-0;
2828;O=C(O)CCC(NC(=O)NC(CSCc1ccc(F)cc1)C(=O)O)C(=O)O;unreliable prediction;Outside AD;-0;-0;-0;
2829;O=C(NN=CC=Cc1ccc([N+](=O)[O-])o1)c1ccc([N+](=O)[O-])s1;unreliable prediction;Outside AD;-0;-0;-0;
2830;OC(Cn1cnnn1)(c1ccc(F)cc1F)C(F)(F)c1ccc(-c2ccc(OCC(F)(F)F)cc2)cn1;unreliable prediction;Outside AD;-0;-0;-0;
2831;Nc1nc(=O)n(C2CC(O)C(CO)O2)cc1F;unreliable prediction;Outside AD;-0;-0;-0;
2832;CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21;unreliable prediction;Outside AD;-0;-0;-0;
2833;CC(=O)OC1CC2(C)C(CC(O)C3C4(C)CCC(O)C(C)C4CCC32C)C1=C(CCC=C(C)C)C(=O)O;unreliable prediction;Outside AD;-0;-0;-0;
2834;COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC;unreliable prediction;Outside AD;-0;-0;-0;
2835;[H]N=C(N)Nc1ccc(CC(NC(=O)CSc2ccc(Cl)cc2)C(N)=O)cc1;unreliable prediction;Outside AD;-0;-0;-0;
2836;C#CCN(Cc1cc2c(=O)nc(C)[nH]c2cc1C)c1ccc(C(=O)NC(CCc2nn[nH]n2)C(=O)O)c(F)c1;unreliable prediction;Outside AD;-0;-0;-0;
2837;Nc1cc(Cl)c(NC2=NCCN2)c(Cl)c1;unreliable prediction;Outside AD;-0;-0;-0;
2838;CC=CCC(CC=CNC(=O)C(NC(=O)C=CC=CC(C)=CC(C)C1CC=C(OC)C(=O)O1)C(C)(C)C)OC(N)=O;unreliable prediction;Outside AD;-0;-0;-0;
2839;Cc1c(C)c2c(c(C)c1OC(=O)CCC(=O)O)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2;unreliable prediction;Outside AD;-0;-0;-0;
2840;COC1C(O)CC(=O)OC(C)CC=CC=CC(O)C(C)CC(CC=O)C1OC1OC(C)C(OC2CC(C)(O)C(OC(=O)CC(C)C)C(C)O2)C(N(C)C)C1O;unreliable prediction;Outside AD;-0;-0;-0;
2841;O=C(O)C=Cc1ccc(B(O)O)cc1;unreliable prediction;Outside AD;-0;-0;-0;
2842;COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC;unreliable prediction;Outside AD;-0;-0;-0;
2843;c1ccc2c(c1)-c1nc-2nc2[nH]c(nc3nc([nH]c4nc(n1)-c1ccccc1-4)-c1ccccc1-3)c1ccccc21;unreliable prediction;Outside AD;-0;-0;-0;
2844;O=C1Nc2ccc(Br)cc2C1=C1Nc2ccccc2C1=O;unreliable prediction;Outside AD;-0;-0;-0;
2845;Nc1ccn(C2OC(COP(=O)(O)O)C(O)C2O)c(=O)n1;unreliable prediction;Outside AD;-0;-0;-0;
2846;Nc1ccn(C2OC(COP(=O)(O)O)C(O)C2O)c(=O)n1;unreliable prediction;Outside AD;-0;-0;-0;
2847;CCOC(=O)c1cc2ccc(O)cc2oc1=O;unreliable prediction;Outside AD;-0;-0;-0;
2848;Cn1c(COc2ccc(CC3SC(=O)NC3=O)cc2)nc2ccccc2c1=O;unreliable prediction;Outside AD;-0;-0;-0;
2849;O=C(O)Cn1cc(Cc2nc3c(F)c(F)cc(F)c3s2)c2cccnc21;unreliable prediction;Outside AD;-0;-0;-0;
2850;Cc1cc2c(s1)c1cnn(Cc3ccccc3F)c(=O)c1n2C;unreliable prediction;Outside AD;-0;-0;-0;
2851;CN(C)c1ccc(C2CC3(C)C(CCC3(O)CCCO)C3CCC4=CC(=O)CCC4=C23)cc1;unreliable prediction;Outside AD;-0;-0;-0;
2852;CCCCCCCCCCCCSc1n[nH]nc1C(=O)O;unreliable prediction;Outside AD;-0;-0;-0;
2853;O=[N+]([O-])c1ccc(OC2OC(CO)C(O)C(O)C2O)cc1;unreliable prediction;Outside AD;-0;-0;-0;
2854;Cc1cccc(C)c1C(=O)Nc1cc(Br)c(O)c(Br)c1;unreliable prediction;Outside AD;-0;-0;-0;
2855;CC(Cc1ccccc1)NCCC(c1ccccc1)c1ccccc1;unreliable prediction;Outside AD;-0;-0;-0;
2856;O=c1ccn(C2OC(CO)C(OP(=O)(O)O)C2F)c(=O)[nH]1;unreliable prediction;Outside AD;-0;-0;-0;
2857;COc1ccc(-c2cc(N3CC(N)C(c4cc(F)c(F)cc4F)C3)ncn2)cn1;unreliable prediction;Outside AD;-0;-0;-0;
2858;O=C(Nc1cc(Br)c(O)c(Br)c1)c1cc(Cl)ccc1Cl;unreliable prediction;Outside AD;-0;-0;-0;
2859;Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OC(=O)C(N)Cc2c[nH]c3ccccc23)C(O)C1O;unreliable prediction;Outside AD;-0;-0;-0;
2860;CC(C)c1cc(C(=O)N2Cc3ccc(CN4CCN(C)CC4)cc3C2)c(O)cc1O;unreliable prediction;Outside AD;-0;-0;-0;
2861;CCC=CCC=CCC=CCC=CCC=CC=CC(O)CCC(=O)O;unreliable prediction;Outside AD;-0;-0;-0;
2862;CCC(Nc1ncnc2nc[nH]c12)c1nc2cccc(F)c2c(=O)n1-c1ccccc1;unreliable prediction;Outside AD;-0;-0;-0;
2863;NC(Cc1ccccc1)C(O)O;unreliable prediction;Outside AD;-0;-0;-0;
2864;CCN=O;unreliable prediction;Outside AD;-0;-0;-0;
2865;CC1CN(c2nc(-n3ccc(OCCC4(C(F)(F)F)CC4)n3)ccc2C(=O)NS(=O)(=O)c2ccccc2)C(C)(C)C1;unreliable prediction;Outside AD;-0;-0;-0;
2866;N=C(N=C(N)N)Nc1cc(C(F)(F)F)ccc1Cl;unreliable prediction;Outside AD;-0;-0;-0;
2867;CN(C)c1ccc(O)c2c1CC1CC3C(N(C)C)C(=O)C(C(N)=O)C(=O)C3(O)C(O)=C1C2=O;unreliable prediction;Outside AD;-0;-0;-0;
2868;C#CCOc1ccc(Nc2nc(Nc3ccc(C)c(S(=O)(=O)NC(=O)CC)c3)ncc2F)cc1;unreliable prediction;Outside AD;-0;-0;-0;
2869;O=C(O)Cc1cc(O)ccc1O;unreliable prediction;Outside AD;-0;-0;-0;
2870;O=C(O)C(=O)N(c1ccccc1C(=O)O)c1cccc2ccc(O)cc12;unreliable prediction;Outside AD;-0;-0;-0;
2871;NC(=O)N1C(=O)C(C(=O)c2cccs2)c2cc(Cl)ccc21;unreliable prediction;Outside AD;-0;-0;-0;
2872;CNC(=O)c1ccccc1Nc1cc(Nc2ccc(N3CCOCC3)cc2OC)ncc1C(F)(F)F;unreliable prediction;Outside AD;-0;-0;-0;
2873;O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1-c1ccc(Br)s1;unreliable prediction;Outside AD;-0;-0;-0;
2874;Cc1cn(C2OC(COP(=O)(O)O)C(O)C2O)c(=O)[nH]c1=O;unreliable prediction;Outside AD;-0;-0;-0;
2875;COc1ccc(-c2ccccc2)cc1N1CC(=O)NS1(=O)=O;unreliable prediction;Outside AD;-0;-0;-0;
2876;O=c1nc[nH]c2c1ncn2C1OC(COS(=O)(=O)O)C(O)C1O;unreliable prediction;Outside AD;-0;-0;-0;
2877;CN1CCN(c2ccccc2C=NNC(N)=S)CC1;unreliable prediction;Outside AD;-0;-0;-0;
2878;O=C(O)Cn1c2c(c3cc(F)ccc31)CN(C(=O)c1cccc3ccccc13)CC2;unreliable prediction;Outside AD;-0;-0;-0;
2879;CC(C)C(N)C(=O)N1CCCC1;unreliable prediction;Outside AD;-0;-0;-0;
2880;O=C1Nc2ccc(S(=O)(=O)O)cc2C1=C1Nc2ccccc2C1=O;unreliable prediction;Outside AD;-0;-0;-0;
2881;O=C1NC2(OC(CO)C(O)C(O)C2O)C(=O)N1O;unreliable prediction;Outside AD;-0;-0;-0;
2882;N#CC(CCN1CCC(C(N)=O)(N2CCCCC2)CC1)(c1ccccc1)c1ccccc1;unreliable prediction;Outside AD;-0;-0;-0;
2883;COc1c(O)cc2oc(-c3ccc(O)cc3)cc(=O)c2c1O;unreliable prediction;Outside AD;-0;-0;-0;
2884;CC[N+](C)(CC)CCOC(c1ccccc1)c1ccccc1;unreliable prediction;Outside AD;-0;-0;-0;
2885;Cc1cc(C)c2c(c1)C(N(Cc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1nnn(C)n1)CCCN2CC1CCC(C(=O)O)CC1;unreliable prediction;Outside AD;-0;-0;-0;
2886;CC(C)OC(=O)NC1Cc2c(n(Cc3ccccn3)c3ccc(C#N)cc23)C1;unreliable prediction;Outside AD;-0;-0;-0;
2887;O=C(O)CCc1ccc(-c2cccc([N+](=O)[O-])c2)s1;unreliable prediction;Outside AD;-0;-0;-0;
2888;NC(=O)CN1CC(O)CC1=O;unreliable prediction;Outside AD;-0;-0;-0;
2889;OC(COc1cccc2ncccc12)CN1CCN(C2c3ccccc3C3C(c4ccccc42)C3(F)F)CC1;unreliable prediction;Outside AD;-0;-0;-0;
2890;NCc1ccc(CNCCC(=O)O)cc1;unreliable prediction;Outside AD;-0;-0;-0;
2891;[H]N=C(N)NCCCC(NC(=O)C1CCCN1C(=O)C(CCC(N)=O)NC(=O)CNC(=O)CCCCCCCCCCCCCCC)C(=O)O;unreliable prediction;Outside AD;-0;-0;-0;
2892;COc1cc(C)c(C=CC(C)=CC=CC(C)=CC(=O)O)c(C)c1C;unreliable prediction;Outside AD;-0;-0;-0;
2893;NC(CCC(=O)NC(CSCc1cccc2ccccc12)C(=O)NCC(=O)O)C(=O)O;unreliable prediction;Outside AD;-0;-0;-0;
2894;NC(CSCP(=O)(O)O)C(=O)O;unreliable prediction;Outside AD;-0;-0;-0;
2895;O=CNCc1ccccc1;unreliable prediction;Outside AD;-0;-0;-0;
2896;CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O;Inactive;Inside AD;-0;-0;-0;
2897;O=C1OC2(c3cc(I)c(O)c(I)c3Oc3c2cc(I)c(O)c3I)c2c(Cl)c(Cl)c(Cl)c(Cl)c21;unreliable prediction;Outside AD;-0;-0;-0;
2898;O=P(O)(O)C(O)(Cc1cccnc1)P(=O)(O)O;unreliable prediction;Outside AD;-0;-0;-0;
2899;Nc1nc(=O)c2c([nH]1)N=CC(CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)N2CO;unreliable prediction;Outside AD;-0;-0;-0;
2900;NCc1ccc(F)cc1;unreliable prediction;Outside AD;-0;-0;-0;
2901;CC(=O)NCCc1ccc(S(N)(=O)=O)cc1;unreliable prediction;Outside AD;-0;-0;-0;
2902;NC1CCc2ccccc2C1O;unreliable prediction;Outside AD;-0;-0;-0;
2903;NC1CCc2ccccc2C1O;unreliable prediction;Outside AD;-0;-0;-0;
2904;C=CC(=O)c1ccc(CCCCCC)cc1;unreliable prediction;Outside AD;-0;-0;-0;
2905;Oc1ccc(CCCCNCC(O)c2ccc(O)c(O)c2)cc1;unreliable prediction;Outside AD;-0;-0;-0;
2906;CC(C)(c1ccc(O)cc1)c1ccc(O)cc1;unreliable prediction;Outside AD;-0;-0;-0;
2907;Oc1cc(O)c2c(O)cc(O)c(O)c2c1;unreliable prediction;Outside AD;-0;-0;-0;
2908;CC(=O)OC1(C(C)=O)CCC2C3C=C(C)C4=CC(=O)CCC4C3CCC21C;unreliable prediction;Outside AD;-0;-0;-0;
2909;[H]N=C(N)NCc1ccc(B2OCC(CO)O2)cc1;unreliable prediction;Outside AD;-0;-0;-0;
2910;Nc1c(C(=O)c2cccc(OCC(O)CO)c2)cnn1-c1ccc(F)cc1;unreliable prediction;Outside AD;-0;-0;-0;
2911;CCCCCCC(O)(P(=O)(O)O)P(=O)(O)O;unreliable prediction;Outside AD;-0;-0;-0;
2912;Nc1ncnc2c1ncn2C1OCC(OP(=O)(O)O)C1O;unreliable prediction;Outside AD;-0;-0;-0;
2913;CCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCC;unreliable prediction;Outside AD;-0;-0;-0;
2914;CN(C)CCC(c1ccccc1)c1ccccn1;unreliable prediction;Outside AD;-0;-0;-0;
2915;CC(C)CCCC(C)CCCC(C)CC(O)P(=O)(O)O;unreliable prediction;Outside AD;-0;-0;-0;
2916;COc1ccc(C(=O)Nc2cccc(O)c2NC(=O)c2ccc(N3CCCN(C)CC3)cc2)cc1;unreliable prediction;Outside AD;-0;-0;-0;
2917;O=C(O)c1ccc(-c2ccccc2C(F)(F)F)o1;unreliable prediction;Outside AD;-0;-0;-0;
2918;CC1(C)OC(c2ccc(S(N)(=O)=O)cc2)=C(c2cccc(F)c2)C1=O;unreliable prediction;Outside AD;-0;-0;-0;
